freq,trec,a,b
17.28,27450.1306518775,90.1238008178,19.5483949907
18.56,27568.2644420863,90.5073520847,19.5668385921
19.84,27272.872809418,89.5482883423,19.5205728901
21.12,27358.1159059607,89.8250516427,19.5339747556
22.4,26799.1480158368,88.0102208306,19.445331107
23.68,26593.7591141664,87.3433737473,19.4122996308
24.96,27326.6148238078,89.722775402,19.5290269919
26.24,26618.5004086493,87.4237026255,19.4162919607
27.52,26462.4176856897,86.916940538,19.3910443082
28.8,26718.3270315085,87.7478150374,19.4323631113
30.08,25690.9464706482,84.4121638657,19.2640503335
31.36,26872.1090248503,88.2471072235,19.4570047794
32.64,26127.0356004135,85.8280376637,19.3362918311
33.92,25980.6524663873,85.352767748,19.3121760862
35.2,25556.3938046114,83.9753045604,19.2415158761
36.48,25729.1517208127,84.5362068858,19.2704275727
37.76,25734.670946235,84.5541264488,19.2713480709
39.04,25559.7770090062,83.9862889903,19.2420839199
40.32,25115.9570258551,82.545315019,19.1669242928
41.6,27065.0517419744,88.8735446168,19.4877250184
42.88,24683.1660850313,81.1401496267,19.0923580423
44.16,24864.8292862656,81.7299652151,19.1238131408
45.44,24485.1003261986,80.4970789812,19.0578012129
46.72,23558.3681332827,77.4882082249,18.8923561873
48,23706.4014686467,77.9688359372,18.9192105032
49.28,23307.786823748,76.6746325446,18.8465170335
50.56,23689.9048535461,77.9152754985,18.9162261062
51.84,22973.832595612,75.5903655702,18.7846644568
53.12,23369.2380973042,76.8741496666,18.8578032492
54.4,23014.4577183328,75.7222653193,18.7922359791
55.68,23075.865610078,75.9216415912,18.8036558991
56.96,22359.8389646637,73.5968797554,18.6685940219
58.24,22209.592932232,73.1090679618,18.6397124729
59.52,21648.7662861347,71.2882022277,18.5301766265
60.8,19890.7298499073,65.5802917205,18.1677334421
62.08,14160.079949966,46.9742855518,16.7186018349
63.36,7100.8942565754,24.0548514824,13.8120267986
64.64,2582.1454252853,9.3835890431,9.7236897948
65.92,934.6037374635,4.034427719,6.0578193904
67.2,387.1593774031,2.2570109656,3.5353366908
68.48,197.5172425346,1.6412897485,2.151852569
69.76,124.5133399877,1.4042640909,1.4744879043
71.04,92.7413276624,1.3011082067,1.1431341617
72.32,78.1268679162,1.2536586621,0.9817930574
73.6,70.2464004332,1.2280727287,0.8922408727
74.88,65.5682363372,1.2128838842,0.8381922555
76.16,62.5353920507,1.2030369872,0.8027897986
77.44,60.9032125716,1.1977377032,0.7836172077
78.72,58.4965151452,1.1899237505,0.7551913298
80,57.1782526972,1.1856436776,0.7395418978
81.28,55.3197872518,1.1796096989,0.7173833471
82.56,54.2322337839,1.1760786811,0.7043637755
83.84,53.4782463645,1.17363067,0.6953145023
85.12,52.2655009478,1.1696931849,0.6807195954
86.4,51.1101129553,1.1659419252,0.6667691903
87.68,50.2171972954,1.1630428484,0.6559571513
88.96,49.4354145591,1.1605045927,0.6464686353
90.24,48.8035233263,1.1584529978,0.6387841775
91.52,47.631679465,1.15464831,0.6244972422
92.8,46.7494253691,1.1517838486,0.6137098415
94.08,46.176422574,1.1499234499,0.6066893045
95.36,44.9728315531,1.1460156869,0.5919056237
96.64,44.3753055199,1.1440756673,0.5845474893
97.92,43.8767595245,1.1424570114,0.5783986735
99.2,43.4182486435,1.1409683398,0.5727359353
100.48,42.5929367545,1.1382887557,0.562524458
101.76,43.0623871483,1.1398129453,0.5683358511
103.04,42.4876710047,1.1379469838,0.5612202903
104.32,42.0771711093,1.1366141919,0.556130744
105.6,42.1766869862,1.1369372954,0.5573651305
106.88,41.5398505741,1.1348696447,0.5494597974
108.16,40.9986123924,1.1331123779,0.5427298372
109.44,40.8802613904,1.1327281214,0.5412568255
110.72,40.2487464732,1.1306777483,0.5333884535
112,39.8931474286,1.1295232059,0.5289515788
113.28,39.4630932205,1.128126926,0.5235796505
114.56,39.4143902351,1.1279687995,0.5229708687
115.84,38.913815247,1.126343556,0.5167087872
117.12,39.2034359238,1.1272838829,0.520332978
118.4,39.0696153061,1.1268494003,0.5186587792
119.68,38.9529609362,1.1264706524,0.5171988166
120.96,38.7154054684,1.1256993684,0.5142242242
122.24,39.2584549231,1.127462516,0.5210211208
123.52,39.010214888,1.1266565418,0.5179154274
124.8,37.9330023158,1.1231590984,0.5044127957
126.08,38.7777214763,1.1259016931,0.5150047222
127.36,38.3116094512,1.1243883424,0.5091633421
128.64,37.5559806903,1.1219350022,0.499676974
129.92,37.6189726446,1.1221395216,0.5004685842
131.2,37.286461647,1.1210599404,0.4962883391
132.48,36.9477170092,1.1199601202,0.4920255847
133.76,37.3839923205,1.1213765984,0.4975148874
135.04,37.2009296251,1.120782239,0.495212401
136.32,36.545540725,1.118654353,0.4869591694
137.6,36.5706695388,1.1187359401,0.4872759027
138.88,36.9815181377,1.1200698641,0.4924511253
140.16,36.6210231242,1.1188994257,0.4879105095
141.44,35.7971198359,1.1162244151,0.4775151756
142.72,36.1801469907,1.1174680097,0.4823509923
